leg_group_id,fare_leg_name,network_id,from_area_id,contains_area_id,to_area_id,is_symmetrical,from_timeframe_id,to_timeframe_id,min_distance,max_distance,distance_type,service_id,min_amount,max_amount,fare_product_id,fare_container_id,rider_category_id,eligible_cap_id,amount,currency
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_1_day_fare,,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_senior_local_1_day_fare,,sen,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_disability_local_1_day_fare,,dis,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_7_day_fare,,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_31_day_fare,,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_senior_local_31_day_fare,,sen,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_disability_local_31_day_fare,,dis
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_1_day_fare,charmcard,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_senior_local_1_day_fare,charmcard_senior,sen,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_disability_local_1_day_fare,charmcard,dis,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_7_day_fare,charmcard,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_31_day_fare,charmcard,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_senior_local_31_day_fare,charmcard_senior,sen,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_disability_local_31_day_fare,charmcard,dis,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_1_day_fare,charmpass,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_senior_local_1_day_fare,charmpass,sen,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_disability_local_1_day_fare,charmpass,dis,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_7_day_fare,charmpass,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,core_local_31_day_fare,charmpass,,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_senior_local_31_day_fare,charmpass,sen,,,
core_local_one_way_trip,,core,,,,,,,,,,,,,reduced_disability_local_31_day_fare,charmpass,dis,,,
